Outcome,Star,Avg. Star,Clique,Num
2,24,6.041666666666667,24,144
2,16,7.1875,16,115
2,6,6.5,25,58
2,2,6.0,17,27
1,1,8.0,23,30
2,1,3.0,25,27
2,1,4.0,29,32
2,1,9.0,10,18
2,17,6.117647058823529,30,116
2,14,6.642857142857143,20,99
2,12,6.333333333333333,15,79
2,2,4.5,10,17
2,26,6.461538461538462,26,168
2,13,6.076923076923077,21,87
2,26,5.884615384615385,30,156
2,8,6.25,25,67
2,2,5.5,3,12
2,4,8.0,23,51
2,4,6.75,26,49
2,17,7.411764705882353,27,136
2,4,5.5,15,33
2,4,7.5,11,37
2,4,8.5,14,44
2,5,6.0,21,46
2,6,6.5,10,43
2,17,6.470588235294118,25,118
2,19,7.684210526315789,27,152
2,4,6.75,4,27
2,3,5.666666666666667,3,17
2,4,7.75,6,33
2,5,6.2,9,35
2,3,7.666666666666667,8,28
2,23,6.478260869565218,25,151
2,18,6.333333333333333,20,116
2,26,7.038461538461538,27,184
2,17,5.470588235294118,18,94
2,3,7.0,6,24
2,21,6.571428571428571,21,138
2,12,7.0,28,100
2,12,7.083333333333333,29,102
2,10,6.4,22,76
1,1,3.0,27,29
2,18,6.777777777777778,18,122
2,9,6.777777777777778,15,67
1,1,9.0,17,25
2,1,3.0,6,8
2,5,7.4,10,42
2,7,7.285714285714286,9,53
2,11,5.090909090909091,23,68
2,5,5.4,27,49
2,23,6.130434782608695,23,140
2,6,7.666666666666667,8,48
2,8,7.125,16,65
2,2,7.5,15,28
2,7,5.142857142857143,21,50
2,6,6.5,17,50
2,1,8.0,29,36
2,5,6.8,5,34
2,8,6.25,21,63
2,4,8.25,5,34
2,14,6.642857142857143,17,96
2,17,6.9411764705882355,17,118
1,1,4.0,10,13
2,19,7.052631578947368,24,139
2,8,7.625,9,62
2,7,6.285714285714286,8,45
2,11,6.181818181818182,15,72
2,26,6.115384615384615,28,160
2,3,4.666666666666667,16,27
2,1,10.0,16,25
2,12,7.0,13,85
2,25,6.24,25,156
2,7,6.142857142857143,9,45
2,4,4.5,14,28
2,2,6.5,11,22
2,4,5.25,5,22
1,1,3.0,11,13
2,11,7.7272727272727275,14,88
2,4,7.25,12,37
2,17,6.882352941176471,17,117
2,2,9.0,27,43
2,5,7.0,27,57
2,22,5.909090909090909,24,132
2,16,6.5625,21,110
2,29,6.172413793103448,30,180
2,7,6.0,30,65
2,2,6.0,9,19
2,12,6.416666666666667,20,85
2,3,7.333333333333333,3,22
2,12,7.5,27,105
2,2,4.5,6,13
2,12,6.666666666666667,15,83
2,4,6.75,22,45
2,18,6.944444444444445,24,131
2,6,5.5,16,43
2,14,6.142857142857143,23,95
2,10,6.4,26,80
2,4,4.25,11,24
2,6,7.333333333333333,16,54
2,10,8.2,19,91
2,29,6.551724137931035,30,191
2,3,9.0,16,40
2,14,6.571428571428571,18,96
2,3,3.0,22,28
2,8,6.375,28,71
2,24,6.208333333333333,28,153
2,11,6.363636363636363,27,86
2,9,5.888888888888889,15,59
2,3,4.666666666666667,13,24
2,9,6.0,11,56
2,8,6.75,25,71
1,1,8.0,4,11
2,6,5.666666666666667,20,48
2,3,6.666666666666667,9,26
2,12,5.833333333333333,14,72
2,7,7.0,18,60
2,2,7.0,17,29
2,8,6.875,10,57
2,2,8.5,6,21
1,1,10.0,16,25
2,12,6.25,28,91
2,24,6.875,27,168
2,6,6.166666666666667,11,42
2,4,6.0,14,34
2,7,6.142857142857143,8,44
2,8,6.125,24,65
2,14,7.0,14,98
2,11,5.818181818181818,11,64
2,3,6.333333333333333,19,35
2,20,6.25,26,131
2,7,5.428571428571429,7,38
2,8,7.125,12,61
2,11,5.090909090909091,25,70
2,11,5.181818181818182,22,68
2,14,6.285714285714286,16,90
2,8,5.625,11,48
2,20,6.55,27,138
2,26,5.8076923076923075,30,154
2,8,5.875,8,47
2,6,6.166666666666667,27,58
2,5,7.8,8,42
2,25,6.92,27,175
2,7,6.428571428571429,12,50
2,14,6.142857142857143,21,93
2,6,6.166666666666667,8,39
2,8,7.5,21,73
2,4,6.5,29,51
1,1,4.0,5,8
2,2,6.5,6,17
2,16,4.1875,17,68
2,10,7.2,13,75
2,4,7.0,13,37
2,7,6.142857142857143,9,45
2,2,6.0,6,16
2,6,6.833333333333333,8,43
2,13,5.769230769230769,18,80
2,4,6.75,11,34
2,23,6.391304347826087,23,147
2,7,6.714285714285714,13,53
2,7,6.714285714285714,30,70
2,6,6.5,13,46
2,7,7.142857142857143,12,55
2,7,7.142857142857143,23,66
2,9,6.555555555555555,12,62
2,22,7.2727272727272725,30,168
2,25,6.84,28,174
2,6,6.5,11,44
2,5,6.0,6,31
2,12,6.083333333333333,25,86
2,8,6.375,17,60
2,5,4.8,8,27
2,6,6.0,8,38
2,8,5.625,10,47
2,3,6.333333333333333,8,24
2,2,6.5,21,32
2,15,6.533333333333333,22,105
1,1,6.0,17,22
1,1,9.0,4,12
2,5,6.8,7,36
2,1,10.0,8,17
2,13,6.461538461538462,15,86
2,11,8.0,15,92
2,9,5.777777777777778,28,71
2,1,7.0,7,13
2,15,6.8,17,104
2,8,6.625,24,69
2,4,6.75,4,27
2,6,5.5,18,45
2,9,5.111111111111111,10,47
2,4,7.0,6,30
1,1,5.0,9,13
1,2,6.0,3,13
2,15,6.266666666666667,29,107
1,2,6.5,16,27
2,13,6.923076923076923,30,107
2,12,5.333333333333333,26,78
2,11,7.090909090909091,18,85
2,2,4.0,12,18
1,1,6.0,5,10
1,2,7.0,3,15
2,3,7.666666666666667,22,42
2,2,5.0,27,35
2,14,6.857142857142857,30,112
2,2,8.5,12,27
2,12,6.25,22,85
2,13,6.3076923076923075,30,99
2,9,6.333333333333333,27,75
2,6,6.666666666666667,8,42
2,21,7.0,26,152
2,9,6.444444444444445,11,60
2,21,6.761904761904762,24,145
2,5,4.4,14,31
2,3,6.0,11,26
2,3,8.0,3,24
2,27,6.407407407407407,28,172
2,9,8.0,13,76
2,13,6.461538461538462,27,98
2,6,5.333333333333333,8,34
2,7,7.571428571428571,11,57
2,2,5.5,8,17
2,3,7.0,10,28
2,5,7.8,10,44
2,8,7.375,30,81
2,21,5.761904761904762,24,123
2,2,8.0,5,19
2,3,6.666666666666667,24,41
2,1,8.0,24,31
2,5,6.0,5,30
2,21,7.809523809523809,24,167
2,19,7.052631578947368,22,137
2,14,5.857142857142857,28,96
2,11,6.454545454545454,11,71
2,5,6.8,15,44
2,2,4.0,5,11
2,15,6.466666666666667,22,104
2,8,5.25,9,43
1,3,6.333333333333333,3,19
2,3,5.666666666666667,24,38
2,6,5.833333333333333,28,57
2,18,5.5,24,105
2,6,5.833333333333333,8,37
2,5,7.6,6,39
2,26,6.076923076923077,26,158
2,9,6.111111111111111,15,61
2,1,4.0,14,17
2,14,6.928571428571429,18,101
2,25,6.76,25,169
2,8,5.5,13,49
2,4,5.0,20,36
1,1,8.0,4,11
2,13,7.153846153846154,15,95
2,17,6.294117647058823,22,112
2,4,8.25,15,44
2,2,7.0,8,20
2,6,5.666666666666667,11,39
2,3,7.333333333333333,6,25
2,9,7.333333333333333,16,73
2,5,8.0,19,54
2,1,7.0,20,26
1,1,8.0,5,12
2,4,5.5,23,41
2,4,7.0,20,44
2,4,7.5,14,40
2,18,6.055555555555555,29,120
2,4,6.75,12,35
2,9,7.555555555555555,10,69
2,4,5.25,13,30
2,4,8.25,26,55
2,16,6.5,26,114
2,4,7.5,11,37
2,9,6.777777777777778,13,65
2,3,6.666666666666667,28,45
2,23,6.826086956521739,28,161
2,7,5.0,22,50
2,15,6.133333333333334,24,100
2,18,7.611111111111111,25,143
2,12,7.333333333333333,12,88
2,5,7.6,6,39
2,15,6.6,20,104
2,13,7.0,20,98
2,3,5.333333333333333,5,18
2,9,7.0,12,66
2,7,6.571428571428571,9,48
2,9,6.444444444444445,11,60
2,14,6.928571428571429,29,112
2,8,7.125,24,73
2,2,6.5,11,22
2,4,5.75,5,24
2,1,3.0,8,10
2,8,7.0,17,65
2,13,6.0,21,86
2,8,6.375,9,52
2,2,6.5,9,20
2,25,6.52,29,167
2,4,5.25,4,21
2,12,6.75,25,94
2,5,6.2,10,36
2,3,4.666666666666667,13,24
2,15,6.733333333333333,27,113
2,2,7.5,20,33
1,1,8.0,25,32
2,14,6.5,19,96
2,7,6.714285714285714,25,65
2,2,3.0,13,17
2,5,9.2,13,54
2,6,7.0,15,51
2,5,6.6,7,35
2,7,8.142857142857142,17,67
2,3,7.333333333333333,14,33
2,3,6.666666666666667,25,42
2,2,6.0,11,21
2,16,6.125,16,98
2,7,6.571428571428571,9,48
2,3,6.666666666666667,3,20
2,11,6.7272727272727275,19,82
2,4,6.5,14,36
2,4,6.0,11,31
2,6,8.666666666666666,20,66
2,8,6.5,14,58
2,18,6.5,23,122
2,5,6.0,21,46
2,4,4.5,7,21
2,6,6.666666666666667,8,42
2,6,6.833333333333333,12,47
2,7,5.285714285714286,9,39
2,4,4.75,4,19
2,5,7.8,9,43
2,25,6.64,29,170
2,12,6.333333333333333,12,76
1,1,9.0,5,13
2,18,6.388888888888889,19,116
1,1,4.0,19,22
2,1,6.0,27,32
2,23,7.478260869565218,28,177
1,1,4.0,10,13
2,21,6.571428571428571,27,144
2,3,7.666666666666667,6,26
2,2,9.0,8,24
2,13,6.923076923076923,18,95
2,2,9.5,7,24
2,3,7.666666666666667,12,32
2,5,4.8,13,32
2,7,6.857142857142857,10,51
2,20,5.4,23,111
2,30,7.2,30,215
2,11,4.545454545454546,26,65
2,2,4.5,22,29
2,4,4.25,12,25
2,12,7.166666666666667,13,87
2,2,4.5,6,13
2,2,4.5,6,13
2,15,6.466666666666667,23,105
1,1,7.0,4,10
2,4,7.75,23,50
2,4,6.0,15,35
2,12,5.5,28,82
2,28,6.892857142857143,30,194
2,11,7.454545454545454,17,88
2,8,6.125,15,56
1,1,8.0,5,12
2,4,7.0,4,28
2,5,7.2,7,38
2,3,6.0,30,45
2,8,5.375,30,65
2,3,5.333333333333333,15,28
2,3,6.0,4,19
2,6,6.166666666666667,20,51
2,6,7.0,23,59
2,20,7.3,24,150
2,4,6.5,19,41
2,28,5.678571428571429,28,158
1,1,8.0,6,13
2,17,6.176470588235294,18,106
2,20,6.4,24,132
2,3,5.333333333333333,11,24
2,10,5.4,17,61
2,2,7.5,21,34
2,5,5.8,9,33
2,2,5.0,3,11
2,4,7.25,11,36
2,8,6.75,17,63
2,11,5.545454545454546,25,75
2,16,6.1875,23,106
2,6,4.666666666666667,25,47
2,7,5.428571428571429,12,43
2,6,7.333333333333333,9,47
2,5,6.8,5,34
2,3,5.333333333333333,23,36
2,2,5.5,4,13
2,7,7.857142857142857,27,75
2,4,8.25,4,33
2,13,6.230769230769231,30,98
2,9,5.555555555555555,11,52
2,9,7.0,11,65
2,4,9.0,5,37
2,5,5.2,7,28
2,2,7.5,7,20
2,2,8.5,15,30
2,17,7.0588235294117645,24,127
2,16,6.0625,18,99
2,25,6.6,25,164
2,10,5.8,16,64
2,7,6.571428571428571,17,56
2,14,5.857142857142857,17,85
2,6,7.833333333333333,24,65
2,11,5.545454545454546,29,79
2,4,5.5,19,37
2,3,5.333333333333333,4,17
2,5,6.6,5,33
1,2,7.0,14,26
2,11,6.0,13,68
2,9,6.555555555555555,18,68
2,4,6.75,23,46
2,5,5.2,23,44
2,5,5.8,6,30
2,2,8.5,18,33
2,4,6.75,16,39
2,5,6.6,7,35
2,4,6.75,6,29
2,7,7.0,10,52
2,1,7.0,6,12
2,7,6.142857142857143,14,50
2,9,7.666666666666667,12,72
2,3,6.0,22,37
2,21,6.190476190476191,23,131
2,23,6.217391304347826,29,149
2,9,7.0,17,71
2,12,5.666666666666667,24,80
2,10,7.1,13,74
2,13,6.3076923076923075,30,99
1,1,3.0,13,15
2,3,6.666666666666667,23,40
2,12,6.5,14,80
2,3,7.0,7,25
2,4,7.5,9,35
2,3,5.0,14,26
2,10,6.6,19,75
2,5,5.0,15,35
1,1,4.0,5,8
2,3,7.0,8,26
2,1,6.0,3,8
2,5,7.8,5,39
2,5,6.6,6,34
2,6,5.5,24,51
2,8,6.5,30,74
2,3,7.0,18,36
2,4,5.5,8,26
2,4,9.75,24,59
2,12,7.166666666666667,17,91
2,4,6.75,13,36
2,2,4.0,5,11
2,11,6.181818181818182,11,68
2,18,7.055555555555555,20,129
2,14,6.0,16,86
2,9,5.555555555555555,27,68
2,23,6.869565217391305,28,162
1,1,10.0,28,37
2,15,7.266666666666667,21,115
2,3,6.666666666666667,14,31
2,6,5.833333333333333,13,42
2,4,9.25,16,49
2,7,6.428571428571429,7,45
2,6,8.166666666666666,17,60
2,3,6.0,13,28
2,1,4.0,28,31
1,1,6.0,4,9
2,3,9.0,3,27
2,2,5.5,21,30
2,25,6.24,25,156
2,16,6.375,30,116
2,3,4.333333333333333,26,36
2,8,5.0,13,45
2,17,5.647058823529412,26,105
2,8,7.375,13,64
2,20,6.35,28,135
2,6,5.166666666666667,22,47
2,6,7.666666666666667,6,46
2,6,4.166666666666667,16,35
2,8,6.5,21,65
2,11,5.454545454545454,19,68
2,8,5.875,16,55
2,11,6.454545454545454,30,90
2,9,6.444444444444445,15,64
2,7,5.142857142857143,15,44
2,3,8.333333333333334,3,25
2,6,6.833333333333333,8,43
2,3,6.0,29,44
2,10,6.5,18,73
2,6,6.666666666666667,13,47
2,9,6.666666666666667,9,60
2,7,6.0,18,53
2,3,8.0,21,42
2,20,6.95,28,146
1,1,8.0,9,16
2,2,4.5,10,17
2,16,6.375,17,103
2,3,5.666666666666667,14,28
2,3,3.6666666666666665,24,32
2,25,6.28,30,162
2,9,7.555555555555555,23,82
2,3,7.0,21,39
2,5,4.8,16,35
2,2,8.0,11,25
2,7,6.571428571428571,17,56
2,10,5.4,12,56
2,11,5.181818181818182,18,64
2,3,4.0,8,17
2,2,8.5,5,20
2,3,6.333333333333333,11,27
2,5,6.2,9,35
2,3,8.666666666666666,8,31
1,1,5.0,7,11
2,16,7.1875,26,125
2,4,7.25,5,30
2,19,6.157894736842105,28,125
2,21,6.523809523809524,23,138
2,9,7.222222222222222,11,67
2,6,7.5,24,63
2,18,6.0,29,119
2,14,6.571428571428571,20,98
1,1,4.0,3,6
1,1,3.0,3,5
2,8,6.75,15,61
2,10,6.8,15,73
2,11,6.909090909090909,30,95
2,22,7.2727272727272725,25,162
2,8,6.5,11,55
2,6,6.166666666666667,9,40
2,26,6.423076923076923,30,170
2,20,6.55,22,133
2,4,6.75,13,36
2,9,7.0,15,69
2,4,9.25,21,54
2,4,9.0,4,36
2,2,7.0,12,24
2,4,5.0,6,22
2,2,6.0,8,18
2,18,6.5,30,129
2,28,6.892857142857143,30,194
2,15,5.533333333333333,21,89
1,2,6.0,4,14
2,6,7.333333333333333,17,55
2,23,5.826086956521739,25,136
2,3,6.333333333333333,25,41
2,11,5.181818181818182,25,71
2,4,5.5,21,39
2,19,6.368421052631579,24,126
2,4,7.5,6,32
1,1,10.0,3,12
2,6,6.166666666666667,27,58
2,11,6.909090909090909,30,95
2,12,5.75,13,70
2,6,4.833333333333333,28,51
2,19,5.7368421052631575,28,118
2,20,6.3,29,135
2,15,5.6,20,89
2,12,6.25,18,81
2,4,6.0,4,24
2,7,7.285714285714286,25,69
2,4,5.0,6,22
2,3,8.0,19,40
2,12,6.416666666666667,28,93
2,9,5.444444444444445,10,50
2,2,6.0,11,21
1,1,5.0,3,7
2,2,9.0,3,19
2,2,4.5,11,18
2,9,6.222222222222222,15,62
2,17,7.235294117647059,22,127
2,6,4.0,17,35
2,5,7.2,29,60
2,13,6.0,30,95
2,5,7.4,8,40
2,7,6.428571428571429,11,49
2,10,6.4,12,66
2,27,5.555555555555555,29,151
2,4,7.5,28,54
2,3,8.666666666666666,14,37
2,10,6.4,10,64
2,3,5.666666666666667,13,27
2,11,6.0,24,79
2,16,6.5,18,106
1,1,6.0,29,34
1,1,4.0,10,13
2,8,5.75,10,48
2,1,9.0,7,15
2,2,8.5,3,18
2,6,6.333333333333333,10,42
2,15,5.533333333333333,21,88
2,5,8.2,8,44
2,21,6.9523809523809526,21,145
1,2,4.5,4,11
2,9,6.111111111111111,9,55
2,5,6.4,8,35
2,25,5.64,25,141
2,23,7.260869565217392,26,170
1,1,8.0,10,17
2,2,9.5,6,23
1,1,5.0,21,25
2,11,6.2727272727272725,15,73
2,13,6.538461538461538,15,87
1,1,4.0,5,8
2,12,7.916666666666667,14,97
2,5,5.2,15,36
2,8,5.125,16,49
2,7,5.428571428571429,15,46
2,6,6.0,12,42
2,1,4.0,6,9
2,8,6.125,19,60
2,7,7.0,22,64
2,11,7.0,22,88
2,12,6.166666666666667,26,88
1,1,6.0,3,8
2,7,6.714285714285714,23,63
2,7,6.142857142857143,13,49
2,2,3.5,4,9
2,26,5.769230769230769,29,152
2,8,6.25,27,69
2,7,6.571428571428571,27,65
2,3,6.666666666666667,30,47
2,6,6.166666666666667,8,39
